displacement,from_city,to_city,from_state,to_state,anomaly
0,1593,1593,13,13,0
0.037168789,1903,1903,18,18,0
0,140,140,46,46,0
0,298,298,25,25,0
547.8636795,1099,860,48,48,0
0,266,266,47,47,0
0,2420,2420,49,49,0
0,899,899,25,25,0
54.78432276,1199,2135,16,48,0
827.3198703,1032,2079,49,21,0
6.032044454,2183,2183,6,6,0
0,728,728,46,46,0
0,2382,2382,38,38,0
0,1773,1773,29,29,0
3.071938001,523,1961,29,29,0
0,469,469,4,4,0
0,1572,1572,14,14,0
0,2741,2741,48,48,0
0,2172,2172,42,42,0
0,873,873,47,47,0
1.271798038,1313,1313,54,54,0
0,1738,1738,25,25,0
12.11305148,2043,610,31,31,0
0,167,167,36,36,0
0,2695,2695,25,25,0
170.2333839,1213,1213,38,38,0
0,352,352,21,21,0
0,855,855,23,23,0
681.1427931,1005,1005,37,37,0
0,728,728,46,46,0
900.299797,2235,1208,38,19,0
0,2613,2613,26,26,0
0,2489,2489,53,53,0
1717.34793,139,1087,49,53,1
0,728,728,46,46,0
0,2082,2082,47,47,0
0,2085,2085,32,32,0
0,507,507,29,29,0
0,377,377,31,31,0
0,2629,2629,50,50,0
0,2566,2566,32,32,0
0,1603,1603,29,29,0
0.185857737,2779,2779,43,43,0
1.892164444,1245,1245,45,45,0
0,1196,1196,15,15,0
0,728,728,46,46,0
0,372,372,35,35,0
0,2083,2083,32,32,0
0,1526,1526,27,27,0
1.90586373,1373,1373,27,27,0
1.90586373,1373,1373,27,27,0
0,1172,1172,54,54,0
1.90586373,1373,1373,27,27,0
1.90586373,1373,1373,27,27,0
150.4501113,105,438,41,41,0
713.8124009,2763,2688,41,31,0
0,1123,1123,54,54,0
0,2031,2031,19,19,0
0,475,475,54,54,0
0.003549746,2255,2255,49,49,0
192.3437579,2087,1808,47,38,0
4.47777707,2622,2622,31,31,0
0,140,140,46,46,0
0,1683,1683,29,29,0
2.291035021,2660,2660,27,27,0
0,1495,1495,32,32,0
0,1562,1562,42,42,0
2.716615307,1278,2733,31,31,0
0.335429471,675,675,47,47,0
0.060401932,2644,2644,32,32,0
0,675,675,47,47,0
57.94248415,829,829,8,8,0
0,227,227,54,54,0
1.742935425,216,216,46,46,0
0,1754,1754,46,46,0
0,1123,1123,54,54,0
4.298529836,1047,1047,43,43,0
67.43410421,1702,1702,48,48,0
0,124,124,8,8,0
224.0575835,735,2580,13,42,0
0,501,501,42,42,0
323.7261046,1886,1886,46,46,0
1.093381333,2079,2079,21,21,0
2.135616937,2079,2079,21,21,0
0,741,741,11,11,0
0.867702259,2236,2236,52,52,0
0,1417,1417,46,46,0
0,2530,2530,32,32,0
2.484865787,2274,2274,54,54,0
0,1354,1354,54,54,0
172.114412,2644,1391,32,32,0
0,2163,2163,35,35,0
2445.149411,3,3,54,54,1
30.65524473,759,2105,31,31,0
0,2079,2079,21,21,0
0,852,852,29,29,0
0,1958,1958,54,54,0
0,1416,1416,29,29,0
0,2035,2035,14,14,0
0,1204,1204,54,54,0
0,2129,2129,54,54,0
0,1172,1172,54,54,0
0,1172,1172,54,54,0
0,1152,1152,46,46,0
0,2202,2202,29,29,0
18.56956929,1607,1998,46,46,0
0,1422,1422,46,46,0
0,910,910,29,29,0
0.941156134,2686,2686,41,41,0
0,2153,2153,49,49,0
0,1255,1255,5,5,0
0,1505,1505,19,19,0
0,444,444,2,2,0
16.28795101,2052,2763,41,41,0
0,777,777,36,36,0
350.6553518,140,1604,46,46,0
0,1416,1416,29,29,0
8.311811809,1765,649,29,29,0
0,2525,2525,46,46,0
0,2280,2280,7,7,0
1309.96499,1767,1767,16,16,1
0,1780,1780,25,25,0
0.037698708,550,550,32,32,0
283.5177348,335,649,29,29,0
669.2654676,2457,2165,38,54,0
0.055640784,2467,2467,37,37,0
11.42086634,2290,1317,47,47,0
133.976133,999,2480,31,31,0
0.114408019,2845,2845,16,16,0
0,2607,2607,32,32,0
0,704,704,54,54,0
0,2599,2599,54,54,0
0,2362,2362,25,25,0
73.16346294,2712,531,3,3,0
0,1221,1221,36,36,0
0,719,719,53,53,0
724.2994462,253,253,23,23,0
1069.577013,2817,1094,13,30,0
0,2243,2243,16,16,0
13.23201063,2243,2596,16,16,0
724.2994462,253,253,23,23,0
0,1081,1081,8,8,0
0,1081,1081,8,8,0
0,1081,1081,8,8,0
0,1081,1081,8,8,0
1.637066745,2596,2596,16,16,0
1.637066745,2596,2596,16,16,0
0.558887725,2008,2008,53,53,0
0,331,331,19,19,0
0,1081,1081,8,8,0
0,1427,1427,42,42,0
0,1081,1081,8,8,0
6.838427785,819,649,29,29,0
0,1433,1433,11,11,0
0,1495,1495,32,32,0
54.86449339,2091,1123,54,54,0
1.90586373,1373,1373,27,27,0
10.17440892,1114,108,31,31,0
0.009199534,673,673,46,46,0
0,2330,2330,54,54,0
0,2589,2589,20,20,0
2.326888675,1255,1255,5,5,0
0,2468,2468,5,5,0
0,2686,2686,41,41,0
0,2477,2477,14,14,0
0,1278,1278,31,31,0
0,2686,2686,41,41,0
27.43820129,2534,2105,31,31,0
0,1252,1252,31,31,0
0.630538593,2675,2675,41,41,0
1211.491565,1278,1250,31,34,1
0,2675,2675,41,41,0
0,2718,2718,29,29,0
1239.131356,1367,916,9,32,1
0,1194,1194,46,46,0
329.1008765,1525,2822,7,48,0
0,2480,2480,31,31,0
771.4444229,2293,1112,36,36,0
0,648,648,31,31,0
0,2136,2136,36,36,0
0,2480,2480,31,31,0
805.1872551,1113,1561,53,32,0
1034.345666,1408,518,42,54,0
0,2480,2480,31,31,0
0,1481,1481,7,7,0
0,1278,1278,31,31,0
2226.855928,1651,1593,46,46,1
0,123,123,47,47,0
0,2480,2480,31,31,0
0,2480,2480,31,31,0
0,600,600,46,46,0
0,1194,1194,46,46,0
0,311,311,31,31,0
71.77526849,1033,995,46,46,0
0,2480,2480,31,31,0
0,1280,1280,31,31,0
0,2433,2433,54,54,0
0,1418,1418,36,36,0
0,1887,1887,48,48,0
124.9447946,1172,896,54,54,0
0,480,480,48,48,0
0,1280,1280,31,31,0
639.3392497,2116,872,31,1,0
781.4769149,1592,215,53,11,0
309.941332,835,1933,46,46,0
0,2600,2600,1,1,0
0,429,429,13,13,0
2.307792197,1278,1278,31,31,0
1.479761975,1999,1999,38,38,0
0,2247,2247,31,31,0
0,2599,2599,54,54,0
623.2059885,438,747,53,18,0
0,1349,1349,52,52,0
0,1471,1471,49,49,0
0,1471,1471,6,6,0
2.863261042,2654,649,29,29,0
1757.497246,266,827,48,31,1
0.006738015,1865,1865,9,9,0
0,2627,2627,54,54,0
0,1416,1416,29,29,0
0,653,653,47,47,0
2.457772818,1471,1471,29,29,0
21.88482962,2814,569,16,16,0
0,2798,2798,0,0,0
20.42712519,474,88,25,25,0
0,2531,2531,54,54,0
4.886527555,2607,2607,32,32,0
0,108,108,31,31,0
0,271,271,25,25,0
1.96407118,931,831,29,29,0
0,2525,2525,46,46,0
0,1047,1047,43,43,0
0,2031,2031,19,19,0
0,1049,1049,5,5,0
367.1831219,583,2787,26,4,0
877.5732671,2712,108,3,31,0
1.977687038,1887,1887,48,48,0
0,2071,2071,38,38,0
14.43338023,628,441,46,46,0
0,1958,1958,54,54,0
6.712767393,2480,2480,31,31,0
0.001735121,2058,2058,54,54,0
0.001735121,2058,2058,54,54,0
0.001735121,2058,2058,54,54,0
3.361970135,453,783,48,48,0
0,2557,2557,30,30,0
0,1652,1652,48,48,0
0,1810,1810,20,20,0
0.862993279,227,227,14,14,0
1630.762651,2112,1018,52,52,1
0,48,48,20,20,0
0,2577,2577,20,20,0
37.76002935,681,681,41,41,0
0,1172,1172,54,54,0
0,1753,1753,27,27,0
0,37,37,49,49,0
4.962624463,1326,167,36,36,0
66.84422431,2257,421,47,47,0
1196.161567,2312,1532,2,54,0
0.004174084,1290,1290,31,31,0
0,1668,1668,6,6,0
0.904003974,1197,1887,48,48,0
302.6451779,2660,1892,11,38,0
0,1049,1049,5,5,0
0,1513,1513,31,31,0
0,1481,1481,7,7,0
0,2031,2031,19,19,0
3.735207975,2644,1003,32,32,0
28.77899274,1015,2596,46,16,0
0,2627,2627,54,54,0
4.636203256,1683,649,29,29,0
513.3785625,1059,168,54,36,0
505.8814217,1059,2136,54,36,0
0,1051,1051,29,29,0
0,1984,1984,31,31,0
475.3788399,2293,1152,36,46,0
0,1513,1513,31,31,0
0,1513,1513,31,31,0
0,387,387,41,41,0
0,387,387,41,41,0
0,2105,2105,31,31,0
0,1513,1513,31,31,0
0,1513,1513,31,31,0
0,1513,1513,31,31,0
0,2407,2407,7,7,0
0,2105,2105,31,31,0
0,2105,2105,31,31,0
9.134652242,1623,2435,42,42,0
0,1172,1172,54,54,0
0,2644,2644,32,32,0
10.03145835,318,2528,48,48,0
0,1172,1172,54,54,0
0,1172,1172,54,54,0
0,1172,1172,54,54,0
0,259,259,7,7,0
10.8495711,700,443,42,42,0
0,1074,1074,50,50,0
0,980,980,32,32,0
0,1591,1591,26,26,0
4.493346278,2622,2622,31,31,0
4.493346278,2622,2622,31,31,0
9.742568993,2105,528,31,31,0
2367.838174,2075,2075,52,52,1
0,2105,2105,31,31,0
0.460480078,1550,1550,54,54,0
0,2293,2293,36,36,0
1832.242676,902,902,3,3,1
43.0305042,703,1999,54,54,0
0.141035533,2196,2196,31,31,0
0,459,459,23,23,0
0.137222436,2105,2105,31,31,0
536.3535287,2286,804,19,20,0
15.8925707,2105,2622,31,31,0
0,2105,2105,31,31,0
1321.108343,2383,1564,16,16,1
12.44517864,128,1277,27,27,0
439.7765549,85,459,36,23,0
4.493346278,2622,2622,31,31,0
4.374364482,2105,2105,31,31,0
0,2105,2105,31,31,0
0,1416,1416,29,29,0
0,2727,2727,52,52,0
715.8231531,983,1018,50,52,0
0,2639,2639,54,54,0
0,1172,1172,54,54,0
1352.532215,418,1315,16,16,1
415.8372913,2730,1660,31,31,0
0.320708332,762,762,18,18,0
0,1024,1024,31,31,0
8.428251449,2301,266,47,47,0
0,438,438,53,53,0
0,904,904,54,54,0
320.7170827,1416,1411,29,29,0
806.1664668,2480,2126,31,25,0
0,379,379,33,33,0
0,775,775,47,47,0
0.038203078,911,911,7,7,0
4.493346278,2622,2622,31,31,0
0,1614,1614,55,55,0
0,1423,1423,3,3,0
0,2486,2486,32,32,0
0.134890614,2244,2244,5,5,0
2292.561036,2097,890,44,15,1
0,1652,1652,48,48,0
2462.736257,377,377,31,31,1
0.134890614,2244,2244,5,5,0
0,755,755,39,39,0
0,649,649,29,29,0
0,1566,1566,54,54,0
0.071913364,1005,1005,54,54,0
0,1906,1906,30,30,0
0,1534,1534,50,50,0
0,2351,2351,53,53,0
2.076316695,980,980,32,32,0
0,169,169,54,54,0
4.466898488,2105,2105,31,31,0
11.94464382,230,2486,32,32,0
30.73016589,298,1319,25,25,0
0,2845,2845,16,16,0
0.114408019,2845,2845,16,16,0
0.114408019,2845,2845,16,16,0
0.114408019,2845,2845,16,16,0
0,2845,2845,16,16,0
0.114408019,2845,2845,16,16,0
0,1051,1051,18,18,0
0,1051,1051,18,18,0
4.040272682,649,649,29,29,0
1111.988275,164,721,19,32,0
0,1705,1705,29,29,0
4.981151399,416,605,29,29,0
166.3148731,2429,2594,49,9,0
1.422677315,342,342,31,31,0
0,2293,2293,36,36,0
0,368,368,37,37,0
20.1961259,1615,1627,50,50,0
0,428,428,55,55,0
0,2540,2540,44,44,0
2.109486063,319,319,7,7,0
0,2408,2408,29,29,0
0,1087,1087,53,53,0
0,902,902,38,38,0
0,877,877,31,31,0
0,1195,1195,49,49,0
0,2089,2089,53,53,0
0,294,294,7,7,0
0,127,127,46,46,0
0,1517,1517,35,35,0
0,1235,1235,53,53,0
94.69374124,209,804,20,20,0
608.1545285,421,2627,47,54,0
446.3183477,1770,469,7,47,0
0,48,48,20,20,0
0,675,675,47,47,0
0,675,675,47,47,0
0,213,213,6,6,0
0,2304,2304,51,51,0
0,500,500,9,9,0
0,2304,2304,51,51,0
0,624,624,14,14,0
0,765,765,5,5,0
0,2243,2243,16,16,0
854.1207088,882,1990,48,48,0
0,2304,2304,51,51,0
0,1406,1406,14,14,0
0,1915,1915,16,16,0
0,1396,1396,36,36,0
0,1915,1915,16,16,0
0,1844,1844,31,31,0
0,638,638,14,14,0
0,2644,2644,32,32,0
1.486580359,358,358,48,48,0
170.677697,1592,2787,53,53,0
0,459,459,23,23,0
10.80660879,2105,2105,31,31,0
0,227,227,54,54,0
0,1862,1862,48,48,0
256.556854,2251,545,42,42,0
1760.098809,786,2540,20,44,1
146.5958431,2419,465,49,49,0
0,508,508,41,41,0
93.35317916,2471,628,16,46,0
686.9602088,614,1080,52,32,0
1040.646404,2079,1018,21,52,0
0,839,839,40,40,0
0,828,828,32,32,0
6.386736464,1152,1152,46,46,0
0,2290,2290,47,47,0
0,550,550,32,32,0
0,2686,2686,41,41,0
0,586,586,47,47,0
0,1087,1087,53,53,0
3.703206126,1722,1722,48,48,0
530.555777,1287,2822,53,48,0
0,2189,2189,31,31,0
0,1498,1498,16,16,0
0,1295,1295,45,45,0
87.93944082,39,644,31,31,0
296.5328978,266,2693,47,19,0
1426.337848,902,640,6,32,1
15.16302037,2280,1599,7,7,0
0,2644,2644,32,32,0
0,2243,2243,16,16,0
0,418,418,16,16,0
0,2243,2243,16,16,0
0,2502,2502,20,20,0
0,418,418,16,16,0
0,1046,1046,32,32,0
0,1686,1686,54,54,0
6.334008123,2133,1344,42,42,0
0,2577,2577,20,20,0
0,1231,1231,32,32,0
1376.733115,1965,2406,41,5,1
2.933844474,735,1593,13,13,0
0,2379,2379,42,42,0
0,1367,1367,9,9,0
0,2085,2085,32,32,0
0.1635612,1481,1481,7,7,0
0,762,762,18,18,0
0.089198437,1552,1552,16,16,0
0,1780,1780,25,25,0
0,1431,1431,35,35,0
0.413156667,760,760,32,32,0
0,2811,2811,42,42,0
0,1549,1549,23,23,0
0,2468,2468,5,5,0
15.81200985,757,2590,31,31,0
0,772,772,17,17,0
0,395,395,42,42,0
0,1533,1533,41,41,0
1231.858954,703,2822,50,50,1
0,566,566,52,52,0
0,2686,2686,41,41,0
0,1659,1659,54,54,0
0,1195,1195,49,49,0
0,1697,1697,46,46,0
0,780,780,42,42,0
0,227,227,54,54,0
255.9965497,755,1590,39,11,0
0,984,984,31,31,0
0,1782,1782,50,50,0
0,1907,1907,18,18,0
0,484,484,53,53,0
0,206,206,52,52,0
0.024127597,372,1558,35,35,0
0,605,605,29,29,0
462.2834964,2566,2621,38,7,0
0,1433,1433,11,11,0
0,2233,2233,48,48,0
0,1627,1627,50,50,0
0,354,354,16,16,0
0,2329,2329,16,16,0
500.718565,2749,1152,13,46,0
0,2211,2211,11,11,0
0,29,29,26,26,0
0,542,542,31,31,0
1217.880006,1152,550,46,32,1
0,572,572,31,31,0
0,1072,1072,53,53,0
8.044978895,2410,2383,50,50,0
0,447,447,32,32,0
0,2555,2555,31,31,0
0,418,418,16,16,0
5.664838788,898,898,13,13,0
0,1722,1722,48,48,0
0,379,379,33,33,0
202.2734001,2811,1087,42,53,0
0,508,508,41,41,0
0,2135,2135,49,49,0
0,2107,2107,38,38,0
0,509,509,52,52,0
0,342,342,50,50,0
1047.602195,1526,1373,27,27,0
191.0211459,1363,1235,53,53,0
0,888,888,52,52,0
0,923,923,37,37,0
0.137222436,2105,2105,31,31,0
0,411,411,54,54,0
0,918,918,20,20,0
0,1639,1639,16,16,0
0,2352,2352,30,30,0
0,1639,1639,16,16,0
0,48,48,20,20,0
0.378978159,1491,1491,13,13,0
0,1547,1547,35,35,0
0,898,898,13,13,0
0,2335,2335,35,35,0
0,48,48,20,20,0
0,2577,2577,20,20,0
0,2284,2284,20,20,0
4.54314876,898,898,13,13,0
988.5963483,2492,2627,46,54,0
0,898,898,54,54,0
0,2067,2067,7,7,0
0,342,342,31,31,0
0,753,753,54,54,0
1.253078441,1665,1665,47,47,0
0,2145,2145,35,35,0
0,2556,2556,3,3,0
7.173778823,2654,335,29,29,0
1233.382142,47,947,6,54,1
0.983172923,2154,2154,31,31,0
0,1327,1327,29,29,0
0,2123,2123,31,31,0
16.86968657,1414,1762,31,31,0
0,1481,1481,7,7,0
105.9621294,2067,2067,38,38,0
0.41988641,2555,2555,31,31,0
0,336,336,13,13,0
0,379,379,33,33,0
28.63557867,2805,1958,54,54,0
0,336,336,13,13,0
9.18012156,1004,61,54,54,0
3.903665109,1719,50,13,13,0
0,1418,1418,36,36,0
0,460,460,21,21,0
28.48323585,2213,40,31,31,0
223.3157721,2293,115,36,47,0
724.2994462,253,253,23,23,0
0,453,453,3,3,0
0,227,227,54,54,0
529.3271392,967,584,52,41,0
174.8244284,364,1122,32,32,0
0,1011,1011,16,16,0
0.117891554,2712,2712,3,3,0
0.088334785,1284,1284,29,29,0
82.04210869,558,1385,41,41,0
0,2335,2335,45,45,0
8.61E-06,1087,1087,53,53,0
0,1278,1278,31,31,0
71.76200749,840,634,20,20,0
0,271,271,25,25,0
1.372302613,2787,2787,53,53,0
0,550,550,32,32,0
2322.097324,401,1278,48,31,1
0.205591901,955,955,6,6,0
61.79170052,2195,157,29,46,0
0,2525,2525,46,46,0
1449.838822,828,1579,32,32,1
0,2525,2525,46,46,0
11.80024405,2105,1087,53,53,0
0,2426,2426,19,19,0
0,804,804,20,20,0
226.1534408,920,1624,46,46,0
3.362458174,710,485,16,16,0
0,1051,1051,18,18,0
0,813,813,48,48,0
14.07183533,2271,1623,42,42,0
0,2811,2811,42,42,0
0,680,680,14,14,0
3.593179826,2739,2739,38,38,0
1164.30165,2741,2741,43,43,0
0,1050,1050,48,48,0
0,2145,2145,35,35,0
0,2243,2243,16,16,0
9.374487859,2449,1284,29,29,0
550.8891744,1290,2643,46,20,0
5857.350958,1250,800,34,31,1
0,172,172,54,54,0
0,148,148,29,29,0
786.4077363,2426,2707,18,7,0
0,1416,1416,29,29,0
0,785,785,52,52,0
0,1198,1198,54,54,0
0,518,518,54,54,0
9.74810402,1722,1011,48,16,0
0,48,48,20,20,0
2.418625035,2787,2787,35,35,0
0,1096,1096,46,46,0
0,2243,2243,16,16,0
0,1537,1537,36,36,0
0,1736,1736,36,36,0
109.3583725,747,372,35,35,0
0,1056,1056,54,54,0
0,241,241,55,55,0
0,1885,1885,31,31,0
0,2410,2410,50,50,0
0,2293,2293,36,36,0
300.0835934,237,237,49,49,0
0,2749,2749,13,13,0
0,1373,1373,27,27,0
0,525,525,46,46,0
0,1151,1151,9,9,0
35.63135548,377,222,31,31,0
0,2021,2021,11,11,0
707.1634665,316,819,26,29,0
0.179277678,1481,1481,7,7,0
0,1640,1640,52,52,0
0,2356,2356,50,50,0
0,1142,1142,31,31,0
0,2607,2607,32,32,0
0,2607,2607,32,32,0
0,1406,1406,14,14,0
513.3785625,1059,168,54,36,0
43.03224349,1476,394,48,16,0
0.135040957,628,628,46,46,0
0,1930,1930,49,49,0
0,1087,1087,53,53,0
0,1316,1316,49,49,0
0,2235,2235,38,38,0
0,1892,1892,38,38,0
0.135040957,628,628,46,46,0
0,923,923,37,37,0
0,1233,1233,38,38,0
0,416,416,29,29,0
0,628,628,46,46,0
0,2779,2779,38,38,0
0.390566079,555,555,53,53,0
0,628,628,46,46,0
0,1979,1979,19,19,0
1.90586373,1373,1373,27,27,0
0,2057,2057,8,8,0
3.511720723,1909,1909,5,5,0
0,2057,2057,8,8,0
0,1367,1367,9,9,0
0,318,318,48,48,0
3.511720723,1909,1909,5,5,0
2.730112657,717,717,48,48,0
0,411,411,54,54,0
0,1252,1252,31,31,0
1.534984824,2136,2136,36,36,0
0,1057,1057,48,48,0
664.0888955,2644,746,32,9,0
0,1754,1754,46,46,0
11.23735092,1114,108,31,31,0
0,273,273,5,5,0
6.67822828,2105,2105,31,31,0
0,2646,2646,54,54,0
0,1414,1414,31,31,0
0,1754,1754,46,46,0
6.889909198,2540,2540,44,44,0
0,411,411,54,54,0
812.6168963,544,544,30,30,0
0,2268,2268,52,52,0
20.33358255,2369,1860,7,7,0
1.060169547,2793,2410,50,50,0
2133.655635,1999,1278,54,31,1
0.320708332,762,762,18,18,0
0,1283,1283,8,8,0
2423.283224,1422,441,46,46,1
32.68958679,47,2503,6,6,0
0,1979,1979,19,19,0
0,1481,1481,7,7,0
0,1129,1129,31,31,0
0,438,438,53,53,0
0,480,480,30,30,0
5.839171924,441,1422,46,46,0
1595.209902,4,1851,32,3,1
217.3876234,1259,1259,36,36,0
1.976696685,2709,2709,31,31,0
592.6376752,382,2656,46,18,0
0,2105,2105,31,31,0
0,1350,1350,29,29,0
0,1252,1252,31,31,0
427.2918572,2031,2811,19,42,0
9.258469852,1792,899,25,25,0
0,1916,1916,25,25,0
6.378942239,2385,2556,16,16,0
0,480,480,30,30,0
0,115,115,42,42,0
9.469168777,1017,1038,7,7,0
10.11411032,200,286,48,48,0
0,2102,2102,35,35,0
0,1281,1281,54,54,0
0,1914,1914,5,5,0
0,433,433,19,19,0
0,2374,2374,31,31,0
0,1916,1916,25,25,0
0,310,310,48,48,0
0,2127,2127,32,32,0
0,624,624,14,14,0
11.74682282,2175,1220,32,32,0
0,82,82,53,53,0
0,550,550,32,32,0
12.86505291,2123,528,31,31,0
0,2161,2161,23,23,0
0,628,628,46,46,0
0,628,628,46,46,0
0.441192055,1495,1495,32,32,0
0,2274,2274,54,54,0
0,2566,2566,32,32,0
1.870711398,1910,1910,21,21,0
618.4820583,1832,82,53,53,0
0,2313,2313,31,31,0
0,1018,1018,52,52,0
0,579,579,8,8,0
0,1628,1628,31,31,0
716.4284623,1919,1865,51,52,0
30.40199226,115,804,20,20,0
0.155257184,1539,1539,16,16,0
16.47243598,1701,474,25,25,0
0,1343,1343,13,13,0
0,828,828,32,32,0
0.814385653,628,628,46,46,0
0,379,379,16,16,0
829.0605321,899,899,25,25,0
0,902,902,8,8,0
0,849,849,31,31,0
41.65117606,483,612,16,16,0
4.933510687,1720,615,54,54,0
0,2058,2058,54,54,0
4.03915011,2644,2644,32,32,0
1173.764575,1311,596,5,5,0
587.3067538,667,2419,49,49,0
0,675,675,47,47,0
0,849,849,31,31,0
0,1302,1302,54,54,0
0.07244657,1734,1734,31,31,0
0,728,728,46,46,0
0,2147,2147,20,20,0
0.07244657,1734,1734,31,31,0
0,2412,2412,31,31,0
0,1734,1734,31,31,0
0,2654,2654,29,29,0
0.155257184,1539,1539,16,16,0
0,2153,2153,49,49,0
0,1627,1627,50,50,0
0,628,628,46,46,0
0,1993,1993,13,13,0
0,2806,2806,31,31,0
0.269969727,1481,1481,7,7,0
1196.254735,1211,2822,54,48,0
0,849,849,31,31,0
0,849,849,31,31,0
0,1449,1449,45,45,0
0,1909,1909,5,5,0
0,849,849,31,31,0
0,2530,2530,32,32,0
0,305,305,48,48,0
0,218,218,1,1,0
906.8909355,234,642,50,0,0
251.2408161,1773,1087,29,53,0
4.302866534,1440,1440,28,28,0
9.668134284,395,2818,42,42,0
0,310,310,48,48,0
0,310,310,48,48,0
0,2777,2777,46,46,0
0,632,632,25,25,0
28.70695099,210,337,53,53,0
0,588,588,31,31,0
0,480,480,7,7,0
0,1801,1801,54,54,0
0,1845,1845,54,54,0
0,675,675,47,47,0
2476.428256,2471,2471,11,11,1
0,84,84,42,42,0
9.668134284,395,2818,42,42,0
0,156,156,54,54,0
0,544,544,14,14,0
0,25,25,29,29,0
0,459,459,23,23,0
0,4,4,32,32,0
0,1087,1087,53,53,0
0,636,636,31,31,0
52.17136501,2227,2485,54,54,0
0,995,995,46,46,0
0,227,227,47,47,0
597.162696,643,643,42,42,0
0,258,258,51,51,0
0,227,227,47,47,0
0,1373,1373,27,27,0
0,1047,1047,43,43,0
0,1437,1437,38,38,0
26.74089632,1502,2353,46,46,0
